timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554454356756,40,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-10,text,true,,240,254,1,1,http://104.248.249.47/student/post,39,0,0
1554454356797,38,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-10,text,true,,446,126,1,1,http://104.248.249.47/student/get,38,0,0
1554454356839,39,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-10,text,true,,4666,135,1,1,http://104.248.249.47/student/GetHtml?id=3,39,0,0
1554454356898,63,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-1,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,63,0,31
1554454356962,33,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-1,text,true,,240,254,1,1,http://104.248.249.47/student/post,33,0,0
1554454356995,30,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-1,text,true,,446,126,2,2,http://104.248.249.47/student/get,30,0,0
1554454357026,35,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-1,text,true,,4664,135,2,2,http://104.248.249.47/student/GetHtml?id=4,35,0,0
1554454357001,74,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-2,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,74,0,36
1554454357076,37,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-2,text,true,,240,254,2,2,http://104.248.249.47/student/post,37,0,0
1554454357114,39,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-2,text,true,,446,126,2,2,http://104.248.249.47/student/get,39,0,0
1554454357109,65,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-3,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,65,0,32
1554454357157,46,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-2,text,true,,4662,135,3,3,http://104.248.249.47/student/GetHtml?id=5,45,0,0
1554454357176,36,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-3,text,true,,240,254,2,2,http://104.248.249.47/student/post,36,0,0
1554454357214,30,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-3,text,true,,446,126,2,2,http://104.248.249.47/student/get,30,0,0
1554454357194,75,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-4,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,75,0,37
1554454357246,33,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-3,text,true,,4621,136,2,2,http://104.248.249.47/student/GetHtml?id=42,32,0,0
1554454357270,40,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-4,text,true,,240,254,2,2,http://104.248.249.47/student/post,40,0,0
1554454357312,39,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-4,text,true,,446,126,2,2,http://104.248.249.47/student/get,39,0,0
1554454357295,77,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-5,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,77,0,38
1554454357354,38,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-4,text,true,,4621,137,2,2,http://104.248.249.47/student/GetHtml?id=-42,38,0,0
1554454357373,40,HTTP Request Post Json data,200,OK,Thread Group 100 users 10 secs 2-5,text,true,,240,254,2,2,http://104.248.249.47/student/post,39,0,0
1554454357414,39,HTTP Request Get Json data,200,OK,Thread Group 100 users 10 secs 2-5,text,true,,446,126,2,2,http://104.248.249.47/student/get,39,0,0
1554454357411,64,HTTP Request Dynamic HTML,200,OK,Thread Group 100 users 10 secs 2-6,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,64,0,32
1554454357456,40,HTTP Request Data from CSV,200,OK,Thread Group 100 users 10 secs 2-5,text,true,,4663,135,2,2,http://104.248.249.47/student/GetHtml?id=1,39,0,0
