timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554454082816,127,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-1,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,126,0,74
1554454082954,41,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-1,text,true,,240,254,1,1,http://104.248.249.47/student/post,41,0,0
1554454083062,37,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-1,text,true,,446,126,1,1,http://104.248.249.47/student/get,37,0,0
1554454083103,38,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-1,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,37,0,0
1554454083645,77,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-2,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,77,0,38
1554454083727,37,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-2,text,true,,240,254,1,1,http://104.248.249.47/student/post,37,0,0
1554454083766,37,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-2,text,true,,446,126,1,1,http://104.248.249.47/student/get,37,0,0
1554454083809,39,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-2,text,true,,4664,135,1,1,http://104.248.249.47/student/GetHtml?id=2,39,0,0
1554454084632,66,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-3,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,65,0,32
1554454084701,32,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-3,text,true,,240,254,1,1,http://104.248.249.47/student/post,32,0,0
1554454084735,32,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-3,text,true,,446,126,1,1,http://104.248.249.47/student/get,32,0,0
1554454084772,32,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-3,text,true,,4666,135,1,1,http://104.248.249.47/student/GetHtml?id=3,32,0,0
1554454085632,82,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-4,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,82,0,38
1554454085718,38,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-4,text,true,,240,254,1,1,http://104.248.249.47/student/post,37,0,0
1554454085758,38,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-4,text,true,,446,126,1,1,http://104.248.249.47/student/get,37,0,0
1554454085800,41,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-4,text,true,,4664,135,1,1,http://104.248.249.47/student/GetHtml?id=4,41,0,0
1554454086652,64,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-5,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,64,0,31
1554454086719,33,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-5,text,true,,240,254,1,1,http://104.248.249.47/student/post,33,0,0
1554454086754,31,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-5,text,true,,446,126,1,1,http://104.248.249.47/student/get,31,0,0
1554454086789,33,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-5,text,true,,4662,135,1,1,http://104.248.249.47/student/GetHtml?id=5,33,0,0
1554454087633,63,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-6,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,63,0,31
1554454087698,31,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-6,text,true,,240,254,1,1,http://104.248.249.47/student/post,31,0,0
1554454087731,32,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-6,text,true,,446,126,1,1,http://104.248.249.47/student/get,32,0,0
1554454087767,32,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-6,text,true,,4621,136,1,1,http://104.248.249.47/student/GetHtml?id=42,32,0,0
1554454088631,66,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-7,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,66,0,32
1554454088698,34,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-7,text,true,,240,254,1,1,http://104.248.249.47/student/post,34,0,0
1554454088734,30,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-7,text,true,,446,126,1,1,http://104.248.249.47/student/get,30,0,0
1554454088768,33,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-7,text,true,,4621,137,1,1,http://104.248.249.47/student/GetHtml?id=-42,33,0,0
1554454089619,76,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-8,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,76,0,37
1554454089697,39,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-8,text,true,,240,254,1,1,http://104.248.249.47/student/post,39,0,0
1554454089738,36,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-8,text,true,,446,126,1,1,http://104.248.249.47/student/get,36,0,0
1554454089777,39,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-8,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,39,0,0
1554454090619,75,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-9,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,75,0,38
1554454090697,37,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-9,text,true,,240,254,1,1,http://104.248.249.47/student/post,37,0,0
1554454090736,37,HTTP Request Get Json data,200,OK,Thread Group 10 users 10 secs 1-9,text,true,,446,126,1,1,http://104.248.249.47/student/get,37,0,0
1554454090776,39,HTTP Request Data from CSV,200,OK,Thread Group 10 users 10 secs 1-9,text,true,,4664,135,1,1,http://104.248.249.47/student/GetHtml?id=2,39,0,0
1554454091629,64,HTTP Request Dynamic HTML,200,OK,Thread Group 10 users 10 secs 1-10,text,true,,4663,135,1,1,http://104.248.249.47/student/GetHtml?id=1,64,0,31
1554454091695,33,HTTP Request Post Json data,200,OK,Thread Group 10 users 10 secs 1-10,text,true,,240,254,1,1,http://104.248.249.47/student/post,33,0,0
